PALAVRA,SINÔNIMO,SIGNIFICADO,EXEMPLO
Tagarela,"Falador, Conversador","Pessoa que fala demais, que/quem fala muito por muito tempo","""Minha prima é tão tagarela que nunca para de falar."""
Repreender,"Advertir, Corrigir, Censurar","Ato de advertir alguém, de corrigir um comportamento ou opinião; Admoestar (corrigir) alguém por um erro ou má conduta.","""A professora precisou repreender o aluno por falar durante a aula."""
Enredo,"História, trama, narrativa.",Conjunto de acontecimentos que formam a estrutura de uma narrativa.,"""O enredo do filme foi emocionante, cheio de reviravoltas inesperadas."""
Tolo,"Banalidade, futilidade, bobagen.","Algo com ausência de inteligência, de utilidade; Algo profundidade ou propósito, inútil","""Eles passaram horas em uma conversa tola sem chegar a nenhuma conclusão."""
Perspectiva,"Visão, ponto de vista, abordagem, visão",Ponto de vista ou maneira de ver algo,"""A perspectiva do autor sobre a política era clara em suas palavras."""
,,,
Prefácio," Introdução, prólogo, abertura.","Introdução ou texto inicial de um livro, geralmente escrito pelo autor ou por alguém convidado.","""O prefácio do livro explica as intenções do autor."""
Prólogo," Introdução, prefácio, preâmbulo
"," Parte inicial de uma obra, que introduz a história ou estabelece o contexto.","""O prólogo do livro introduz o que está por vir."""
Pseudônimo,"Nome artístico, codinome, apelido.", Nome fictício usado por alguém para ocultar sua verdadeira identidade; (Alguns autores ou artistas usam para não revevlar sua identidade),"""O autor publicou o livro sob um pseudônimo para manter o anonimato."""
Perscrutar,"Investigar, sondar, explorar.",Examinar ou investigar algo minuciosamente.,"""O detetive perscrutou todos os detalhes do caso."""
Analogia,"Comparação, semelhança, paralelo.",Comparação entre duas coisas diferentes com base em uma semelhança.,"""A analogia entre o cérebro humano e um computador foi discutida em vários artigos."""
Denunciar,"Acusar, informar, relatar.","Fazer uma acusação pública, informar sobre algo errado ou ilegal.","""Ela decidiu denunciar o crime ao órgão competente."""
