PALAVRA,SINÔNIMO,SIGNIFICADO,EXEMPLO
,,,
Espanto,"Medo, Terror, Susto",Medo intenso causado por algo ou alguém.,"""O terror dele era evidente ao ouvir os trovões."""
Descaso,"Desprezo, Indiferença"," Falta de atenção, cuidado ou respeito por algo ou alguém","""O descaso pelas necessidades da comunidade gerou revolta."""
Amedrontar,"Intimidar, Assustar, Apavorar",Ato de causar medo em alguém,
Apelar,"Pedido, Súplica, Pedido de ajuda","Ato de clamar, pedir por algo; Pedido urgente e sincero por algo",
Ansio,"Desejo, anseio, anelar.",Sentir um forte desejo ou expectativa sobre algo.,"""Eu ansio pelo momento em que todos estarão juntos novamente."""
Cólera,"Raiva, ira, fúria",Sentimento de raiva intensa.,"""A cólera dele foi visível quando soube da injustiça que havia ocorrido."""
Resiliencia,"Força, resistência, superação.",Capacidade de se recuperar rapidamente de dificuldades ou adversidades.,"""A resiliência do time foi fundamental para a vitória no campeonato."""
Solidariedade," Empatia, apoio, fraternidade.","Sentimento de união e apoio mútuo, especialmente em tempos difíceis.","""A solidariedade da comunidade foi essencial para superar a crise."""
Intolerância,"Preconceito, discriminação, intolerância.", Falta de aceitação ou respeito por opiniões ou comportamentos diferentes. (O contràrio de tolerância),"""A intolerância religiosa tem gerado conflitos em diversas partes do mundo."""
Vaidoso,"Narcisista, presunçoso, exibido.",Pessoa excessivamente preocupada com sua aparência ou com a admiração dos outros.,"""Ele era tão vaidoso que não conseguia passar um dia sem olhar no espelho."""
Tolerância,"Aceitação, paciência, compreensão.",Disposição para aceitar ideias ou comportamentos diferentes dos próprios.,"""A tolerância é essencial para a convivência em uma sociedade diversa."""
Contentamento," Alegria, satisfação, prazer.",Estado de satisfação e felicidade.,"""Seu contentamento era evidente ao conquistar o objetivo tão desejado."""
Entusiasmo,"Empolgação, ânimo, euforia.",Sentimento de grande animação ou interesse por algo.,"""O entusiasmo da equipe era contagiante e motivador."""
