PALAVRA,SINÔNIMO,SIGNIFICADO,EXEMPLO,TIPO,DERIVADAS,CATEGORIA,IMAGEM
Gozar,"Desfrutar, Aproveitar, Zombar",Aproveitar algo com prazer ou desfrutar (Sentido Bom); também pode significar zombar de alguém (Sentido ruim).,"""Ela sabe como gozar os pequenos prazeres da vida."",
""Eles gozaram do erro do amigo.""",Verbo,"Gozado, Gozador",COMPORTAMENTOS,
Dócil,"Manso, obediente, gentil.","Animal fácil de lidar, obediente; Pessoa gentil.","""A criança era tão dócil e obedecia aos pais sem reclamar."", ""Ela é uma menina tão dócil, simpática.""",Adjetivo,Docilidade,COMPORTAMENTOS,
Iniquidade,"Maldade, injustiça, pecado.",Falta de justiça; Comportamento imoral.,"""A corrupção é uma iniquidade que deve ser combatida.""",Subs. Feminino,Iníquo,COMPORTAMENTOS,
Imparcial," Neutro, justo, equilibrado, balançeado",Capacidade de julgar ou agir sem favorecer nenhuma das partes envolvidas.,"""O mediador foi imparcial ao lidar com o conflito.""",Adjetivo,Imparcialidade,COMPORTAMENTOS,https://www.juridigital.com.br/wp-content/uploads/2023/03/simbolos-do-direito-a-venda-ou-cegueira-saiba-o-significado.jpg
Contrapor,"Opor-se, resistir, confrontar.",Colocar-se em oposição ou agir contra algo.,"""O político fez um discurso contrapondo-se a todos.""",Verbo,Contraposição,COMPORTAMENTOS,
Reto,"Justo, honesto, correto, decente, prudente",Pessoa de caráter íntegro e moral elevada.,"""Ele é conhecido como um homem reto, sempre fiel aos seus princípios.""",Adjetivo,Retidão,COMPORTAMENTOS,
íntegro,"Honesto, correto, ético, virtuoso",Pessoa ou coisa que não apresenta falhas morais; justo e honesto.,"""Seu caráter íntegro o tornou admirado por todos.""",Adjetivo,Integridade,COMPORTAMENTOS,
Hipócrita,"Falso, dissimulado, enganador, fingido, mentiroso","Pessoa que finge ser algo que não é, que finger ter sentimentos ou crenças que na verdade não possui.","""Não seja hipócrita ao julgar os outros por atitudes que você mesmo tem.""",Adjetivo,Hipocrisia,COMPORTAMENTOS,https://i0.wp.com/reporternordeste.com.br/wp-content/uploads/2017/05/falsidade-2-696x394.png?fit=673%2C381&ssl=1
Corrompido,"Desonesto, degradado, deteriorado, Estragado",Que perdeu a integridade moral; arruinado ou estragado; Que perdeu a boa virtude,"""O sistema estava completamente corrompido e precisava ser reformado.""",Adjetivo,,COMPORTAMENTOS,
Audácia,"Coragem, Ousadia, Valentia",Coragem para realizar algo ousado; atrevimento ou falta de respeito.,"""Ele teve a audácia de falar a verdade na frente de todos.""",Subs. Feminino,Audacioso(a),COMPORTAMENTOS,
Astuto," Sagaz, esperto, Inteligente","Inteligente ou esperto, geralmente com intuito estratégico ou ardiloso.","""Os astutos negociadores conseguiram um acordo vantajoso.""",Adjetivo,"Astúcia, Astuto(a)",COMPORTAMENTOS,
Detestável,"Desagradável, Insuportável, repulsivo","Que não se pode suportar; Desagradável; Que causa desconforto, incômodo; Que provoca sentimento de revolta.","""A atitude arrogante dele foi considerada detestável.""",Adjetivo,Peverso(a),COMPORTAMENTOS,
Perversidade,"Maldade, crueldade","Qualidade ou ato de ser cruel, maldoso ou moralmente corrupto; Atitude movida por maldade e indecência.","""A perversidade de suas ações chocou a todos.""; ""Ele agiu de forma perversa ao fazer aquela maldade""",Subs. Feminino,Perverso(a),COMPORTAMENTOS,
Transgressão,"Violação, Pecado"," Violação de uma regra, lei ou norma; Na religião: utilizado como sinônimo de pecado","""A transgressão das leis resultou em punição severa.""",Subs. Feminino,,COMPORTAMENTOS,
Espanto,"Medo, Terror, Susto",Medo intenso causado por algo ou alguém.,"""Era evidente o seu espanto ao ouvir os trovões.""",Subs. Masculino,"Espante, Espantado(a)",EMOÇÕES,https://www.olgatessari.com/wp-content/uploads/2019/12/como-enfrentar-o-medo.png
Descaso,"Desprezo, Indiferença, apatia"," Falta de atenção, empatia, cuidado ou respeito por algo ou alguém","""O descaso pelas necessidades da comunidade gerou revolta.""",Subs. Masculino,,EMOÇÕES,
Amedrontar,"Intimidar, Assustar, Apavorar",Ato de causar medo em alguém,"""Não permita que suas dúvidas o amedrontem diante de novos desafios"", ""A tempestade no meio da noite parecia amedrontar até os mais corajosos.""",Verbo,,EMOÇÕES,https://joaobidu.com.br/images/large/2018/04/01/Design-sem-nome-6-1.jpg
Apelar,"Pedir, Suplicar, Implorar","Ato de clamar, pedir por algo; Pedido urgente e sincero por algo; Recorrer a algo ou alguma coisa; Busca de auxílio, atenção ou solução.","""O advogado decidiu apelar ao tribunal superior para reverter a sentença."", ""Durante a reunião, ela precisou apelar à paciência dos colegas para resolver o conflito.""",Verbo,"Apelo, Apelação",EMOÇÕES,https://adriananunan.com.br/wp-content/uploads/2020/06/imagem-destacada-sabe-como-e-o-pedido-de-desculpas-perfeito.jpg
Anseio,Desejo,"Desejo ou expectativa sobre algo; Estado de preocupação ou sofrimento; aflição, angústia, ânsia","""Eu ansio pelo momento em que todos estarão juntos novamente.""",Subs. Masculino,,EMOÇÕES,
Cólera,"Raiva, ira, fúria",Sentimento de raiva intensa; doença infecciosa intestinal causada por bactèria.,"""A cólera dele foi visível quando soube da injustiça que havia ocorrido.""",Subs. Feminino,,EMOÇÕES,https://thaisquaranta.com.br/wp-content/uploads/2018/09/raiva-960x667.jpg
Resiliencia,"Força, resistência, superação.",Capacidade de se recuperar rapidamente de dificuldades ou adversidades.,"""A resiliência do time foi fundamental para a vitória no campeonato.""",Subs. Feminino,Resiliente,EMOÇÕES,https://pt.quizur.com/_image?href=https%3A%2F%2Fimg.quizur.com%2Ff%2Fimg5e9dd0c69445d9.66642570.jpg%3FlastEdited%3D1587400907&w=400&h=400&f=webp
